fold,r2,rmse,mae,mape
1,0.8072610962788187,34.72894869061899,22.86210237014377,237.79491180193918
2,0.7362249395877407,42.23717674407121,24.605496820541852,546.7764576181984
3,0.8134645652692711,34.719044585756656,24.573578667946215,422.2295186682424
4,0.7298944700444068,42.57734218680338,24.440589384982637,343.5114379580548
5,0.8497838000925467,29.441842968659405,20.804228285176176,103.36488279005289
