fold,r2,rmse,mae,mape
1,0.8898612209100185,26.252887249498283,14.380840435785313,130.07840971821452
2,0.8666021312058929,30.03671688081087,16.59651324270299,356.9398245394275
3,0.9212218924600086,22.562637483127016,13.899994836224554,192.93332494316854
4,0.866497281040222,29.933456258291194,14.410463758150781,143.99874755520895
5,0.9538332706159867,16.32191683758974,11.13670296726751,32.08776191224747
